"file" "Boops_boops" "Coris_julis" "Mullus_surmuletus" "Spicara_smaris" "Apogon_imberbis" "Chromis_chromis" "Diplodus_sargus" "Oblada_melanura" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Thalassoma_pavo" "Diplodus_vulgaris" "Seriola" "Serranus_cabrilla" "Sparus_aurata" "Anthias_anthias" "Epinephelus_marginatus" "Sciaena_umbra"
"GH010757" " 1" "11" " 7" " 1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" "11" " 3" " 9" " 1" " 1" "63" "10" " 1" "40" " 7" "12" "54" " 1" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "628" " 21" "  1" "408" "0" " 39" " 15" "  9" "  6" "  6" "  3" " 11" "  2" "  2" "155" "  1" "  3" "0" "0" "0"
"GH011369" " 12" " 23" "  7" " 64" "0" "878" " 19" "  4" " 28" "  6" " 15" "  8" "  4" "  4" "  4" "0" "0" "  1" "0" "0"
"GX010785" " 642" "  87" "   1" " 590" "0" "2622" "   7" "  12" "  43" "   8" "   4" "0" "   9" "   2" "  29" "0" "   1" "   2" "0" "0"
"GH010399" "778" " 60" "  2" "395" "  1" "631" "120" "102" " 73" "105" " 10" " 36" "  3" "  3" "240" "  1" "0" "0" "  1" "0"
"GH011372" " 255" " 103" "  29" " 191" "  21" "2051" "   5" "  20" " 243" "  15" "  90" "  35" "0" "  12" "  34" "   4" "   6" "   1" "0" "0"
"GH010424" "  80" " 172" "   5" " 216" "   4" "6502" "   1" "   7" "  37" "   1" "   7" "  63" "0" "   2" "0" "   2" "0" "0" "   3" "0"
"GH010400" " 62" " 35" "  6" " 17" "  4" "759" " 14" " 15" " 40" " 26" " 11" " 44" "  9" "  1" "  4" "0" "0" "  1" "0" "0"
"GX010788" " 17" " 79" "  3" " 47" "0" "338" " 10" "  4" "0" "0" " 26" "0" " 10" "0" " 18" "0" "0" "0" "0" "  1"
"GX010783" "  17" "  35" "0" " 572" "0" "7670" "  22" "  23" "  18" "   4" "  26" "  17" "   5" "  23" "  54" "0" "   2" "   1" "  15" "   2"
"GH010739" "  47" " 127" "   3" "  56" "   1" "2884" "  56" "  29" "  30" "  20" "  30" "  51" "0" "  12" "   1" "0" "0" "   1" "0" "0"
