"file" "Boops_boops" "Coris_julis" "Mullus_surmuletus" "Apogon_imberbis" "Chromis_chromis" "Diplodus_sargus" "Oblada_melanura" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Thalassoma_pavo" "Seriola" "Serranus_cabrilla" "Sparus_aurata" "Spicara_smaris" "Anthias_anthias" "Diplodus_vulgaris" "Epinephelus_marginatus" "Sciaena_umbra"
"GH010757" "1" "8" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" " 7" "0" " 5" " 1" "44" " 4" " 1" "30" " 2" " 5" "25" " 1" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "581" " 17" "0" "0" " 25" " 10" "  4" "  4" "  3" "  2" "  4" "  1" "118" "  1" "  2" "366" "0" "0" "0" "0"
"GH011369" " 11" " 17" "  3" "0" "812" "  8" "  3" " 19" "  5" "  8" "  5" "  3" "  3" "0" "0" " 55" "  1" "  2" "0" "0"
"GX010785" " 503" "  64" "   1" "0" "2380" "   3" "   8" "  29" "   4" "   2" "0" "   4" "  17" "0" "   1" " 467" "   1" "   1" "0" "0"
"GH010399" "593" " 35" "0" "  1" "568" "110" " 77" " 45" " 89" "  2" " 18" "  3" "223" "  1" "0" "352" "0" "0" "0" "0"
"GH011372" " 214" "  73" "  15" "  10" "1898" "   1" "  15" " 156" "  11" "  56" "  20" "0" "  21" "   2" "   5" " 141" "   1" "   3" "0" "0"
"GH010424" "  64" " 135" "   3" "   2" "5442" "   1" "   4" "  31" "   1" "   3" "  57" "0" "0" "   1" "0" " 151" "0" "   1" "   2" "0"
"GH010400" " 49" " 25" "  5" "  2" "664" "  8" "  6" " 23" " 17" "  6" " 23" "  4" "  2" "0" "0" " 10" "0" "  1" "0" "0"
"GX010788" " 12" " 62" "  1" "0" "279" "  5" "  2" "0" "0" " 21" "0" "  8" "  6" "0" "0" " 29" "0" "0" "0" "  1"
"GX010783" "  13" "  22" "0" "0" "6685" "  14" "  15" "  11" "   2" "  20" "  14" "   3" "  32" "0" "   1" " 376" "0" "   9" "   5" "   1"
"GH010739" "  36" " 112" "   2" "0" "2645" "  36" "  18" "  18" "  11" "  20" "  32" "0" "   1" "0" "0" "  34" "   1" "   5" "0" "0"
"GH010397" "12379" "  198" "0" "    1" "11584" "   18" "   27" "  694" "   14" "0" "    6" "    9" "   33" "    1" "0" " 4402" "    1" "0" "    1" "    2"
"GX010753" "  57" " 450" "0" "   3" " 126" " 155" " 241" "1744" "  38" "   1" " 102" "  34" "   6" "   5" "0" "  55" "  18" "  18" "   1" "0"
"GX010752" " 237" " 637" "  16" "   4" "3250" " 327" " 106" " 600" " 467" "   5" " 160" "  27" "  36" "   9" "  11" "  66" " 123" "  80" "   8" "   8"
"GH011373" "147" "132" "  8" "0" "119" "  9" "  8" " 23" "0" "  4" "  9" "0" "0" "0" "0" " 28" "0" "  3" "0" "0"
"GH011371" " 235" "  79" "   2" "0" "2191" "  31" "  62" "  66" "  22" "   1" "  10" "   1" " 133" "0" "   8" " 351" "   1" "  21" "0" "0"
"GH011370" " 7" " 2" " 9" "0" "48" "0" "0" "28" " 1" " 6" "10" "0" "0" "0" "0" " 2" "0" "0" "0" "0"
"GH011368" "4307" "  13" "  12" "0" "1291" "   6" " 143" "   9" "   7" "  10" "  15" "   3" "   2" "0" "0" "1235" "   9" "   8" "0" "0"
