"file" "Boops_boops" "Coris_julis" "Mullus_surmuletus" "Apogon_imberbis" "Chromis_chromis" "Diplodus_sargus" "Oblada_melanura" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Seriola" "Serranus_cabrilla" "Sparus_aurata" "Spicara_smaris" "Anthias_anthias" "Diplodus_vulgaris" "Thalassoma_pavo" "Epinephelus_marginatus" "Sciaena_umbra"
"GH010757" "1" "6" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" " 7" "0" " 4" " 1" "31" " 4" " 1" "22" " 1" " 2" "12" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "541" " 16" "0" "0" " 16" "  8" "  3" "  1" "  2" "  2" "  4" " 93" "  1" "  1" "341" "0" "0" "0" "0" "0"
"GH011369" "  9" " 15" "  2" "0" "774" "  4" "  3" " 18" "  3" "  8" "  3" "  3" "0" "0" " 49" "  1" "  1" "  1" "0" "0"
"GX010785" " 420" "  56" "   1" "0" "2241" "   3" "   4" "  18" "   3" "   2" "0" "   9" "0" "   1" " 405" "   1" "   1" "   2" "0" "0"
"GH010399" "493" " 23" "0" "0" "521" " 99" " 57" " 36" " 77" "  2" " 11" "217" "  1" "0" "317" "0" "0" "  3" "0" "0"
"GH011372" " 184" "  62" "  10" "   9" "1806" "   1" "   9" " 126" "   9" "  44" "  14" "  16" "   2" "   4" " 122" "   1" "   2" "0" "0" "0"
"GH010424" "  52" " 121" "   1" "   2" "4825" "   1" "   3" "  29" "   1" "   2" "  51" "0" "0" "0" " 120" "0" "0" "0" "   2" "0"
"GH010400" " 39" " 17" "  5" "  1" "620" "  7" "  5" " 22" " 14" "  5" " 14" "  1" "0" "0" "  8" "0" "  1" "  3" "0" "0"
"GX010788" "  7" " 56" "  1" "0" "248" "  4" "  1" "0" "0" " 19" "0" "  3" "0" "0" " 23" "0" "0" "  7" "0" "  1"
"GX010783" "   8" "  12" "0" "0" "6147" "  12" "  11" "  10" "   1" "   7" "  11" "  28" "0" "0" " 302" "0" "   4" "   2" "   3" "   1"
