"file" "Coris_julis" "Mullus_surmuletus" "Apogon_imberbis" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Oblada_melanura" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Diplodus_vulgaris" "Thalassoma_pavo" "Sparus_aurata" "Epinephelus_marginatus" "Sciaena_umbra"
"GH010757" "6" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" "0" " 2" " 1" " 4" "26" " 4" "17" " 1" " 2" " 9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" " 14" "0" "0" "523" " 11" "  5" "  1" "  1" "0" "  3" "  2" " 78" "  1" "329" "0" "0" "0" "0" "0" "0"
"GH011369" " 13" "  2" "0" "  7" "745" "  3" " 16" "  2" "  6" "  2" "  2" "  3" "0" " 40" "  1" "  1" "  1" "0" "0" "0"
"GX010785" "  51" "0" "0" " 354" "2133" "   3" "  16" "   3" "   1" "0" "   4" "   6" "0" " 346" "   1" "   1" "   2" "   1" "0" "0"
"GH010399" " 18" "0" "0" "428" "496" " 88" " 30" " 63" "  1" "  9" " 43" "206" "  1" "285" "0" "0" "  2" "0" "0" "0"
"GH011372" "  57" "   7" "   5" " 173" "1749" "0" "  99" "   6" "  36" "  11" "   6" "  14" "   1" " 108" "0" "   2" "0" "   2" "0" "0"
"GH010424" " 106" "   1" "   2" "  40" "4373" "   1" "  27" "   1" "   2" "  49" "   2" "0" "0" "  95" "0" "0" "0" "0" "   1" "0"
"GH010400" " 14" "  3" "  1" " 31" "599" "  6" " 18" " 12" "  2" " 11" "  4" "  1" "0" "  6" "0" "  1" "0" "0" "0" "0"
"GX010788" " 53" "  1" "0" "  6" "233" "  4" "0" "0" " 18" "0" "  1" "  2" "0" " 17" "0" "0" "  6" "0" "0" "  1"
"GX010783" "   8" "0" "0" "   5" "5714" "   8" "   6" "   1" "   5" "  11" "   8" "  20" "0" " 243" "0" "   3" "0" "0" "   2" "   1"
"GH010739" " 101" "   1" "0" "  30" "2422" "  15" "  10" "   3" "  17" "  26" "   7" "   1" "0" "  19" "0" "0" "0" "0" "0" "0"
"GH010397" "  184" "0" "0" "10798" "10558" "   14" "  507" "   11" "0" "    4" "   13" "   21" "0" " 3586" "0" "0" "    5" "0" "0" "    1"
"GX010753" " 355" "0" "   3" "  51" "  77" " 112" "1628" "  23" "0" "  83" " 197" "   1" "   3" "  44" "  11" "  10" "  28" "0" "   1" "0"
"GX010752" " 543" "   5" "   1" " 190" "2995" " 282" " 516" " 391" "   1" " 127" "  87" "  23" "   6" "  46" "  86" "  51" "  21" "   5" "   4" "   5"
"GH011373" "115" "  4" "0" "129" " 89" "  2" " 17" "0" "0" "  5" "  5" "0" "0" " 17" "0" "  1" "0" "0" "0" "0"
"GH011371" "  55" "   1" "0" " 181" "2009" "  22" "  49" "  13" "0" "   8" "  37" " 106" "0" " 267" "   1" "  15" "0" "   4" "0" "0"
"GH011370" " 1" " 4" "0" " 3" "30" "0" "14" " 1" " 4" " 2" "0" "0" "0" " 1" "0" "0" "0" "0" "0" "0"
"GH011368" "  11" "   4" "0" "3832" "1084" "   5" "   5" "   1" "   7" "  11" " 118" "   1" "0" "1068" "   7" "   7" "   1" "0" "0" "0"
"GH010758" "   9" "0" "0" "   9" "1005" "   1" "0" "0" "0" "   1" "  16" "   2" "0" "  71" "   1" "   1" "0" "  19" "   2" "0"
"GH010743" " 668" "   4" "   5" " 208" "2425" " 223" " 197" " 209" " 175" " 408" "  17" "  48" "0" "  17" "0" "  67" "   2" "0" "  46" "   8"
"GH010742" " 397" "   3" "   1" " 641" "2477" "  10" "  75" "   8" "  22" "  70" "  16" "  20" "   1" " 249" "   2" "   6" "0" "0" "   6" "   8"
"GH010740" " 870" "0" "  50" "  85" "1133" "  26" "  24" "   3" "   6" " 109" "  10" "   2" "  10" "   6" "   2" "  33" "   3" "   1" "   3" "   1"
"GH010737" "  48" "0" "0" "  85" "7418" "  19" "  14" "  29" "0" "0" "  50" "  19" "0" " 322" "   2" "   5" "0" "   1" "0" "   1"
"GH010404" "   5" "0" "0" "  34" "5484" "0" "   5" "   1" "0" "   5" "  57" "0" "0" "  92" "0" "0" "0" "0" "0" "0"
