"file" "Coris_julis" "Mullus_surmuletus" "Apogon_imberbis" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Thalassoma_pavo" "Diplodus_vulgaris" "Oblada_melanura" "Sparus_aurata" "Epinephelus_marginatus" "Sciaena_umbra"
"GH010757" "6" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" "0" " 2" " 1" " 3" "25" " 3" "15" " 1" " 2" " 7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" " 14" "0" "0" "493" "  9" "  4" "  1" "  1" "0" "  2" " 64" "  1" "310" "0" "0" "0" "0" "0" "0" "0"
"GH011369" " 13" "  1" "0" "  3" "703" "  2" " 12" "  1" "  5" "  2" "  3" "0" " 38" "  1" "  1" "0" "0" "0" "0" "0"
"GX010785" "  47" "0" "0" " 306" "2044" "   2" "  14" "   3" "   1" "0" "   3" "0" " 312" "   1" "   2" "   1" "   3" "   1" "0" "0"
"GH010399" " 18" "0" "0" "365" "473" " 82" " 25" " 57" "0" "  6" "198" "0" "261" "0" "  1" "0" " 38" "0" "0" "0"
"GH011372" "  47" "   3" "   4" " 158" "1699" "0" "  88" "   4" "  33" "   9" "  11" "   1" "  95" "0" "0" "   1" "   4" "   2" "0" "0"
"GH010424" "  98" "   1" "   2" "  34" "4034" "   1" "  26" "   1" "   1" "  45" "0" "0" "  78" "0" "0" "0" "   2" "0" "   1" "0"
"GH010400" " 13" "  3" "  1" " 27" "571" "  4" " 16" " 10" "  1" "  8" "  1" "0" "  5" "0" "0" "  1" "  4" "0" "0" "0"
"GX010788" " 49" "  1" "0" "  4" "211" "  3" "0" "0" " 15" "0" "  2" "0" " 14" "0" "  5" "0" "  1" "0" "0" "  1"
"GX010783" "   7" "0" "0" "   4" "5340" "   8" "   4" "0" "   4" "   7" "  16" "0" " 195" "0" "0" "   1" "   6" "0" "   2" "0"
"GH010739" "  91" "   1" "0" "  28" "2342" "  10" "   5" "   3" "  15" "  23" "   1" "0" "  16" "0" "0" "0" "   6" "0" "0" "0"
"GH010397" "  176" "0" "0" "10171" "10206" "   11" "  456" "    8" "0" "    2" "   18" "0" " 3262" "0" "    2" "0" "   11" "0" "0" "    1"
"GX010753" " 322" "0" "   2" "  45" "  62" "  98" "1580" "  21" "0" "  75" "   1" "   3" "  42" "  10" "  27" "   8" " 178" "0" "   1" "0"
"GX010752" " 513" "   4" "   1" " 169" "2897" " 271" " 489" " 368" "   1" " 115" "  18" "   6" "  37" "  71" "  18" "  42" "  74" "   5" "   4" "   4"
