"file" "Coris_julis" "Mullus_surmuletus" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Thalassoma_pavo" "Diplodus_vulgaris" "Oblada_melanura" "Sparus_aurata" "Epinephelus_marginatus" "Apogon_imberbis" "Sciaena_umbra"
"GH010757" "4" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" "0" " 1" " 2" "15" " 3" "14" " 1" " 2" " 6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" " 13" "0" "467" "  8" "  2" "  1" "  1" "0" "  2" " 55" "  1" "299" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011369" " 12" "  1" "  2" "689" "  1" "  8" "  1" "  4" "  2" "  3" "0" " 37" "  1" "  1" "0" "0" "0" "0" "0" "0"
"GX010785" "  43" "0" " 271" "1951" "   2" "  12" "   3" "   1" "0" "   3" "0" " 279" "   1" "   2" "   1" "   3" "0" "0" "0" "0"
"GH010399" " 14" "0" "324" "462" " 72" " 16" " 53" "0" "  6" "191" "0" "245" "0" "0" "0" " 31" "0" "0" "0" "0"
"GH011372" "  43" "   2" " 143" "1647" "0" "  74" "   4" "  28" "   8" "   8" "   1" "  79" "0" "0" "   1" "   1" "   1" "0" "0" "0"
"GH010424" "  92" "   1" "  29" "3720" "   1" "  24" "0" "   1" "  37" "0" "0" "  61" "0" "0" "0" "   2" "0" "   1" "0" "0"
"GH010400" " 12" "  2" " 23" "550" "  3" " 12" " 10" "  1" "  8" "  1" "0" "  3" "0" "0" "  1" "  3" "0" "0" "  1" "0"
"GX010788" " 44" "0" "  2" "200" "  2" "0" "0" " 15" "0" "  2" "0" " 13" "0" "  5" "0" "  1" "0" "0" "0" "  1"
"GX010783" "   6" "0" "   4" "5027" "   8" "   3" "0" "   3" "   7" "  11" "0" " 158" "0" "0" "   1" "   4" "0" "   2" "0" "0"
"GH010739" "  90" "   1" "  27" "2259" "   9" "   3" "   2" "  14" "  20" "   1" "0" "  14" "0" "0" "0" "   4" "0" "0" "0" "0"
"GH010397" " 173" "0" "9596" "9867" "   9" " 397" "   7" "0" "   1" "  14" "0" "3006" "0" "   2" "0" "   9" "0" "0" "0" "   1"
"GX010753" " 302" "0" "  43" "  53" "  93" "1543" "  17" "0" "  70" "   1" "   3" "  39" "   9" "  25" "   7" " 159" "0" "   1" "   2" "0"
"GX010752" " 484" "   3" " 159" "2830" " 256" " 468" " 343" "   1" " 104" "  17" "   5" "  28" "  61" "  16" "  36" "  70" "   4" "   3" "   1" "   4"
"GH011373" "107" "  1" "106" " 64" "  1" " 14" "0" "0" "  3" "0" "0" " 12" "0" "0" "0" "  3" "0" "0" "0" "0"
"GH011371" "  41" "0" " 159" "1902" "  16" "  37" "   7" "0" "   5" "  90" "0" " 219" "0" "0" "  10" "  25" "   2" "0" "0" "0"
"GH011370" "0" " 4" " 3" "20" "0" "10" "0" " 3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011368" "   7" "   2" "3495" " 928" "   5" "   2" "   1" "   6" "   3" "   1" "0" " 920" "   6" "0" "   4" "  96" "0" "0" "0" "0"
"GH010758" "  7" "0" "  6" "876" "  1" "0" "0" "0" "  1" "0" "0" " 48" "0" "0" "  1" "  7" " 10" "  2" "0" "0"
"GH010743" " 593" "   2" " 170" "2032" " 179" " 168" " 165" " 166" " 339" "  36" "0" "  14" "0" "   2" "  58" "   7" "0" "  41" "   3" "   5"
"GH010742" " 365" "   1" " 469" "2153" "   5" "  57" "   6" "  14" "  56" "  16" "   1" " 151" "   1" "0" "   4" "  11" "0" "   3" "0" "   6"
"GH010740" "745" "0" " 55" "974" " 24" " 19" "  1" "  5" " 89" "0" "  5" "  4" "  2" "  3" " 26" "  5" "  1" "  1" " 46" "0"
"GH010737" "  47" "0" "  63" "6926" "  14" "  10" "  19" "0" "0" "  13" "0" " 264" "   2" "0" "   3" "  39" "0" "0" "0" "   1"
"GH010404" "   5" "0" "  15" "5003" "0" "   3" "   1" "0" "   3" "0" "0" "  49" "0" "0" "0" "  45" "0" "0" "0" "0"
"GH010736" "  25" "0" "  24" "3993" "   3" "   4" "   6" "0" "   1" "   2" "0" " 160" "   1" "  11" "   1" "  16" "   2" "0" "0" "0"
"GH010453" "136" "  3" " 95" " 52" " 61" " 33" " 13" "  6" " 44" "  5" "0" " 28" "0" "  1" "  4" "  1" "0" "0" "0" "0"
"GH010452" " 15" "0" "159" "199" " 24" "  2" " 24" "  2" "  4" "  9" "0" " 29" "0" "  1" "0" "  2" "0" "0" "0" "0"
"GH010451" "  24" "0" " 669" "3392" "   2" "  30" "  45" "   1" "  14" "  11" "0" " 312" "0" "   3" "   1" "  17" "   2" "0" "0" "0"
"GH010449" "  345" "0" " 6314" "  110" "  367" "  655" "    2" "    1" "   18" "   17" "   21" "14021" "  159" "    2" "  505" "   93" "   17" "   61" "    1" "   19"
"GH010448" "1051" "   1" "1447" " 464" "  60" " 649" " 513" "0" "  30" "   2" "  17" "4038" "  87" "   1" " 238" "  38" "   2" "   3" "  14" "   7"
"GH010446" "1186" "   5" "2284" " 445" "  19" " 690" "  23" "0" "  26" "0" "  53" "2196" " 344" "  10" "  36" "  38" "0" "  13" "  23" "   1"
"GH010419" " 312" "0" "1128" "2013" "  24" "  44" " 213" "  12" "  11" "  61" "0" " 414" "0" "0" "   4" "  70" "0" "   9" "0" "  18"
"GH010418" " 153" "0" "  99" "2986" "  15" "  39" "  13" "  20" "  10" "   4" "0" " 179" "0" "0" "0" "  25" "0" "0" "0" "0"
"GH010417" "  22" "0" "  57" "2321" "  14" "  16" "  16" "0" "0" "0" "0" " 116" "   1" "0" "   3" "  17" "   1" "0" "0" "0"
"GH010405" "    1" "0" "    4" "11057" "   24" "0" "    3" "0" "0" "    3" "0" "   25" "0" "0" "0" "   13" "0" "0" "0" "0"
"GH010403" "   4" "   1" " 498" "9271" "   1" "0" "0" "0" "0" "0" "0" " 329" "0" "0" "   1" "   6" "0" "0" "0" "0"
"GH010398" "  21" "0" "2644" "7469" "   2" "  31" "   1" "0" "   1" "  13" "0" "3875" "0" "   1" "0" "   9" "0" "0" "0" "0"
"GH010396" "   87" "0" "  259" "11585" "    2" "    5" "    8" "0" "    2" "    2" "0" "   41" "0" "0" "    2" "   18" "0" "0" "0" "0"
"GH010032" "    8" "0" "  123" "10514" "0" "    7" "0" "0" "    2" "0" "0" "   71" "0" "0" "0" "    7" "0" "0" "    1" "0"
"GH010031" "  71" "0" " 962" "7617" "0" "  74" "   4" "0" "   5" "0" "0" " 158" "0" "0" "   1" "   2" "0" "0" "0" "0"
"GH010030" "   41" "0" " 4427" "14192" "    2" "   73" "    1" "0" "    5" "    6" "0" "  406" "0" "0" "0" "    1" "0" "0" "0" "    1"
"GH010029" "603" "  1" "  4" " 76" "377" " 36" " 33" "  7" "265" "0" "0" "  3" "0" "0" "233" "129" "0" "0" "  1" "  1"
"GH010028" "1021" "  13" "  25" " 376" " 201" " 142" "  82" "  19" "1266" "0" "   9" "   9" "0" "  87" " 167" " 132" "0" "   1" "  11" "   1"
"GH010027" "1278" "   4" "   2" "  53" " 606" "  54" " 829" "0" " 935" "0" "   1" "0" "   6" "  30" "  21" " 343" "0" "0" "  42" "0"
