"file" "transNameCounts" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Thalassoma_pavo" "Oblada_melanura" "Diplodus_vulgaris" "Mullus_surmuletus" "Epinephelus_marginatus" "Sciaena_umbra" "Apogon_imberbis" "Sparus_aurata"
"GH010757" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" "0" " 1" "12" " 3" "12" " 1" " 2" " 4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "0" "449" "  7" "  1" "0" "  1" "0" "  2" "  9" " 44" "  1" "283" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011369" "0" "  2" "664" "0" "  8" "  1" "  4" "  2" "  9" "  1" "0" " 35" "  1" "  1" "0" "0" "0" "0" "0" "0" "0"
"GX010785" "0" " 232" "1884" "   2" "  11" "   3" "   1" "0" "  40" "   1" "0" " 248" "   1" "   2" "   2" "0" "0" "0" "0" "0" "0"
"GH010399" "0" "276" "441" " 66" " 12" " 51" "0" "  6" " 11" "181" "0" "227" "0" "0" " 23" "0" "0" "0" "0" "0" "0"
"GH011372" "0" " 133" "1602" "0" "  65" "   3" "  25" "   6" "  40" "   7" "   1" "  67" "0" "0" "   1" "   1" "   2" "0" "0" "0" "0"
"GH010424" "0" "  23" "3413" "   1" "  22" "0" "   1" "  35" "  89" "0" "0" "  43" "0" "0" "   2" "0" "   1" "   1" "0" "0" "0"
"GH010400" "0" " 16" "528" "  2" " 10" "  9" "0" "  6" " 10" "  1" "0" "  3" "0" "0" "  1" "  1" "  2" "0" "0" "0" "0"
"GX010788" "0" "  2" "197" "  1" "0" "0" " 14" "0" " 41" "  1" "0" " 11" "0" "  5" "  1" "0" "0" "0" "  1" "0" "0"
"GX010783" "0" "   4" "4732" "   5" "   1" "0" "   3" "   6" "   4" "  11" "0" " 135" "0" "0" "   2" "   1" "0" "0" "0" "0" "0"
"GH010739" "0" "  26" "2195" "   4" "   2" "0" "  14" "  18" "  86" "0" "0" "  12" "0" "0" "   4" "0" "0" "0" "0" "0" "0"
"GH010397" "0" "9078" "9563" "   8" " 350" "   6" "0" "   1" " 165" "  12" "0" "2750" "0" "   1" "   8" "0" "0" "0" "   1" "0" "0"
"GX010753" "0" "  40" "  46" "  86" "1501" "  13" "0" "  65" " 284" "   1" "   3" "  31" "   9" "  22" " 141" "   5" "0" "   1" "0" "   2" "0"
"GX010752" "0" " 144" "2752" " 239" " 445" " 319" "   1" "  94" " 453" "  16" "   4" "  27" "  53" "  13" "  63" "  32" "   3" "   1" "   2" "   1" "   1"
"GH011373" "0" "95" "51" " 1" "11" "0" "0" " 2" "99" "0" "0" " 9" "0" "0" " 3" "0" " 1" "0" "0" "0" "0"
