"file" "transNameCounts" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Serranus_scriba" "Symphodus_tinca" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Sarpa_salpa" "Thalassoma_pavo" "Oblada_melanura" "Diplodus_vulgaris" "Mullus_surmuletus" "Epinephelus_marginatus" "Sciaena_umbra" "Apogon_imberbis" "Sparus_aurata"
"GH010757" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" "0" " 1" "10" " 3" "11" " 1" " 3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "0" "434" "  6" "  1" "0" "0" "  1" "  8" " 35" "  1" "254" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011369" "0" "  2" "652" "0" "  8" "  4" "0" "  6" "  1" "0" " 34" "  1" "  1" "  1" "0" "0" "0" "0" "0" "0" "0"
"GX010785" "0" " 189" "1817" "   1" "   8" "   1" "0" "  37" "0" "0" " 209" "   1" "   2" "   2" "   2" "0" "0" "0" "0" "0" "0"
"GH010399" "0" "238" "425" " 61" " 10" "0" "  5" " 11" "175" "0" "203" "0" " 43" "0" " 19" "0" "0" "0" "0" "0" "0"
"GH011372" "0" " 117" "1553" "0" "  52" "  22" "   4" "  37" "   5" "   1" "  59" "0" "   3" "0" "   1" "   1" "   2" "0" "0" "0" "0"
"GH010424" "0" "  21" "3150" "0" "  21" "   1" "  34" "  84" "0" "0" "  34" "0" "0" "0" "   2" "0" "0" "   1" "0" "0" "0"
"GH010400" "0" " 13" "507" "  1" "  9" "0" "  4" "  9" "  1" "0" "  2" "0" "  7" "0" "  1" "  1" "  1" "0" "0" "0" "0"
"GX010788" "0" "  2" "192" "  1" "0" " 10" "0" " 40" "  1" "0" " 11" "0" "0" "  5" "  1" "0" "0" "0" "0" "0" "0"
"GX010783" "0" "   1" "4461" "   3" "   1" "   3" "   5" "   3" "   9" "0" " 114" "0" "0" "0" "   2" "0" "0" "0" "0" "0" "0"
"GH010739" "0" "  22" "2145" "   4" "   2" "  12" "  15" "  84" "0" "0" "   9" "0" "0" "0" "   4" "0" "0" "0" "0" "0" "0"
"GH010397" "0" "8544" "9280" "   8" " 298" "0" "   1" " 164" "  11" "0" "2523" "0" "   5" "   1" "   7" "0" "0" "0" "   1" "0" "0"
"GX010753" "0" "  35" "  37" "  78" "1458" "0" "  58" " 269" "   1" "   3" "  27" "   7" "  13" "  18" " 132" "   2" "0" "   1" "0" "   2" "0"
"GX010752" "0" " 126" "2680" " 227" " 419" "   1" "  84" " 431" "  15" "   3" "  22" "  45" " 300" "  12" "  59" "  28" "   2" "   1" "   1" "   1" "   1"
"GH011373" "0" "90" "38" " 1" "10" "0" "0" "89" "0" "0" " 6" "0" "0" "0" " 2" "0" " 1" "0" "0" "0" "0"
"GH011371" "0" " 137" "1805" "   9" "  29" "0" "   3" "  36" "  76" "0" " 180" "0" "   7" "0" "  18" "   6" "0" "0" "0" "0" "   1"
"GH011370" "0" "0" "14" "0" " 6" " 3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 1" "0" "0" "0" "0"
"GH011368" "0" "3182" " 837" "   5" "   1" "   5" "   3" "   4" "   1" "0" " 788" "   4" "   1" "0" "  77" "   4" "0" "0" "0" "0" "0"
"GH010758" "0" "  4" "774" "  1" "0" "0" "0" "  4" "0" "0" " 39" "0" "0" "0" "  3" "  1" "0" "0" "0" "0" "  6"
"GH010743" "0" " 140" "1706" " 147" " 140" " 158" " 266" " 546" "  27" "0" "   4" "0" " 128" "   2" "   5" "  45" "   1" "  38" "   4" "   2" "0"
"GH010742" "0" " 342" "1916" "   5" "  40" "  13" "  42" " 337" "  13" "0" "  92" "   1" "   3" "0" "   9" "   3" "   1" "   3" "   5" "0" "0"
"GH010740" "0" " 29" "852" " 24" " 13" "  5" " 77" "668" "0" "  5" "  2" "0" "  1" "  2" "  4" " 20" "0" "  1" "0" " 39" "  1"
"GH010737" "0" "  43" "6485" "  13" "   9" "0" "0" "  44" "  10" "0" " 226" "   1" "  18" "0" "  31" "   3" "0" "0" "   1" "0" "0"
"GH010404" "0" "   6" "4625" "0" "   2" "0" "   3" "   2" "0" "0" "  28" "0" "0" "0" "  33" "0" "0" "0" "0" "0" "0"
"GH010736" "0" "  18" "3716" "   2" "   4" "0" "   1" "  21" "   1" "0" " 121" "   1" "   5" "   3" "  12" "   1" "0" "0" "0" "0" "   2"
