"file" "transNameCounts" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Serranus_scriba" "Symphodus_tinca" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Thalassoma_pavo" "Oblada_melanura" "Sarpa_salpa" "Diplodus_vulgaris" "Mullus_surmuletus" "Epinephelus_marginatus" "Sciaena_umbra" "Apogon_imberbis" "Sparus_aurata"
"GH010757" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" "0" "1" "5" "1" "7" "1" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "0" "383" "  4" "  1" "0" "0" "  1" "  5" " 22" "  1" "220" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011369" "0" "  1" "611" "0" "  7" "  4" "0" "  4" "  1" "0" " 32" "  1" "  1" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010785" "0" " 117" "1680" "   1" "   3" "   1" "0" "  27" "0" "0" " 152" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010399" "0" "169" "379" " 48" "  5" "0" "  3" "  3" "159" "0" "159" "0" "0" " 13" " 31" "0" "0" "0" "0" "0" "0"
"GH011372" "0" " 104" "1460" "0" "  38" "  20" "   3" "  33" "   4" "0" "  44" "0" "0" "   1" "   3" "   1" "   1" "0" "0" "0" "0"
"GH010424" "0" "  14" "2692" "0" "  18" "   1" "  26" "  74" "0" "0" "  20" "0" "0" "   2" "0" "0" "0" "   1" "0" "0" "0"
"GH010400" "0" "  7" "450" "0" "  6" "0" "  2" "  5" "0" "0" "0" "0" "0" "0" "  5" "0" "  1" "0" "0" "0" "0"
"GX010788" "0" "  2" "177" "0" "0" "  7" "0" " 31" "  1" "0" " 11" "0" "  5" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010783" "0" "0" "3948" "   2" "0" "   2" "   5" "   3" "   5" "0" "  69" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "0"
"GH010739" "0" "  18" "2030" "   2" "   2" "   9" "   9" "  78" "0" "0" "   6" "0" "0" "   4" "0" "0" "0" "0" "0" "0" "0"
"GH010397" "0" "7429" "8725" "   5" " 214" "0" "   1" " 155" "   7" "0" "2100" "0" "   1" "   4" "   3" "0" "0" "0" "   1" "0" "0"
"GX010753" "0" "  24" "  23" "  60" "1370" "0" "  47" " 240" "0" "   2" "  20" "   6" "  17" " 105" "   7" "   2" "0" "0" "0" "   1" "0"
"GX010752" "0" " 102" "2554" " 199" " 371" "0" "  67" " 387" "  12" "   3" "  15" "  30" "  11" "  43" " 259" "  15" "   2" "   1" "0" "   1" "0"
"GH011373" "0" "76" "26" "0" " 7" "0" "0" "74" "0" "0" " 4" "0" "0" "0" "0" "0" " 1" "0" "0" "0" "0"
"GH011371" "0" " 114" "1731" "   6" "  20" "0" "   3" "  29" "  63" "0" " 147" "0" "0" "  11" "   5" "   3" "0" "0" "0" "0" "0"
"GH011370" "0" "0" "9" "0" "3" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011368" "0" "2913" " 762" "   5" "0" "   4" "   2" "   1" "   1" "0" " 674" "   2" "0" "  58" "   1" "   4" "0" "0" "0" "0" "0"
"GH010758" "0" "0" "671" "0" "0" "0" "0" "0" "0" "0" " 27" "0" "0" "  1" "0" "  1" "0" "0" "0" "0" "  4"
"GH010743" "0" " 103" "1427" " 120" " 121" " 154" " 214" " 495" "  17" "0" "   1" "0" "   2" "   3" "  92" "  31" "0" "  34" "   4" "   2" "0"
"GH010742" "0" " 238" "1731" "   3" "  28" "   9" "  37" " 296" "  10" "0" "  52" "0" "0" "   7" "   2" "   2" "   1" "   2" "   4" "0" "0"
"GH010740" "0" " 17" "755" " 23" "  8" "  5" " 71" "597" "0" "  3" "  2" "0" "  2" "  2" "  1" " 19" "0" "0" "0" " 35" "0"
