"file" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Serranus_scriba" "Symphodus_tinca" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Thalassoma_pavo" "Oblada_melanura" "Sarpa_salpa" "Diplodus_vulgaris" "Mullus_surmuletus" "Epinephelus_marginatus" "Sciaena_umbra" "Apogon_imberbis" "Sparus_aurata"
"GH010401" "1" "2" "1" "6" "1" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "366" "  3" "0" "0" "0" "  1" "  5" " 17" "  1" "204" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011369" "  1" "594" "0" "  6" "  4" "0" "  3" "0" "0" " 29" "  1" "  1" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010785" "  88" "1609" "   1" "   3" "   1" "0" "  22" "0" "0" " 119" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010399" "147" "350" " 45" "  4" "0" "  2" "  3" "152" "0" "130" "0" "0" "  7" " 23" "0" "0" "0" "0" "0" "0"
"GH011372" "  98" "1413" "0" "  34" "  18" "   3" "  27" "   3" "0" "  36" "0" "0" "   1" "   3" "   1" "   1" "0" "0" "0" "0"
"GH010424" "  11" "2486" "0" "  17" "   1" "  23" "  73" "0" "0" "  11" "0" "0" "   2" "0" "0" "0" "   1" "0" "0" "0"
"GH010400" "  6" "420" "0" "  6" "0" "  1" "  3" "0" "0" "0" "0" "0" "0" "  3" "0" "  1" "0" "0" "0" "0"
"GX010788" "  2" "170" "0" "0" "  7" "0" " 30" "0" "0" "  9" "0" "  4" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010783" "0" "3668" "   2" "0" "   2" "   5" "   2" "   4" "0" "  56" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010739" "  16" "1966" "   2" "   1" "   8" "   6" "  76" "0" "0" "   4" "0" "0" "   4" "0" "0" "0" "0" "0" "0" "0"
"GH010397" "6864" "8430" "   3" " 180" "0" "   1" " 149" "   3" "0" "1833" "0" "0" "   2" "   2" "0" "0" "0" "   1" "0" "0"
"GX010753" "  18" "  17" "  50" "1314" "0" "  45" " 229" "0" "   2" "  13" "   6" "  17" "  92" "   6" "   2" "0" "0" "0" "   1" "0"
"GX010752" "  87" "2499" " 186" " 348" "0" "  56" " 360" "  11" "   2" "  14" "  26" "   9" "  37" " 241" "  12" "   2" "   1" "0" "   1" "0"
"GH011373" "65" "23" "0" " 5" "0" "0" "69" "0" "0" " 2" "0" "0" "0" "0" "0" " 1" "0" "0" "0" "0"
"GH011371" " 101" "1687" "   5" "  18" "0" "   2" "  26" "  59" "0" " 132" "0" "0" "  10" "   4" "   1" "0" "0" "0" "0" "0"
"GH011370" "0" "6" "0" "2" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011368" "2741" " 731" "   3" "0" "   4" "   1" "   1" "   1" "0" " 618" "   2" "0" "  49" "   1" "   4" "0" "0" "0" "0" "0"
"GH010758" "0" "617" "0" "0" "0" "0" "0" "0" "0" " 19" "0" "0" "0" "0" "  1" "0" "0" "0" "0" "  3"
"GH010743" "  91" "1295" " 116" " 114" " 150" " 179" " 485" "  15" "0" "   1" "0" "   2" "   2" "  82" "  29" "0" "  30" "   3" "   1" "0"
"GH010742" " 191" "1633" "   2" "  23" "   8" "  36" " 284" "   9" "0" "  43" "0" "0" "   5" "   2" "0" "   1" "0" "   4" "0" "0"
"GH010740" " 15" "700" " 22" "  7" "  5" " 64" "555" "0" "  3" "  1" "0" "  2" "  2" "  1" " 14" "0" "0" "0" " 33" "0"
"GH010737" "  28" "5796" "   9" "   5" "0" "0" "  43" "   7" "0" " 167" "   1" "0" "  11" "  11" "0" "0" "0" "0" "0" "0"
"GH010404" "0" "4056" "0" "0" "0" "   1" "   2" "0" "0" "  10" "0" "0" "  17" "0" "0" "0" "0" "0" "0" "0"
