"file" "Chromis_chromis" "Other" "Serranus_scriba" "Diplodus_sargus" "Symphodus_tinca" "Boops_boops" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Thalassoma_pavo" "Oblada_melanura" "Sarpa_salpa" "Diplodus_vulgaris" "Epinephelus_marginatus" "Mullus_surmuletus" "Sciaena_umbra" "Apogon_imberbis" "Sparus_aurata"
"GH011370" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" "2" "5" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "  3" "0" "0" "0" "0" "337" "  4" " 13" "  1" "186" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011369" "567" "  5" "  4" "0" "0" "0" "  1" "0" "0" " 25" "  1" "  1" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010785" "1534" "   1" "   1" "   1" "0" "  67" "  19" "0" "0" "  95" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010399" "326" "  3" "0" " 37" "  1" "112" "  3" "149" "0" "103" "0" "0" "  5" " 20" "0" "0" "0" "0" "0" "0"
"GH011372" "1355" "  23" "  16" "0" "   1" "  93" "  26" "   2" "0" "  35" "0" "0" "0" "   3" "   1" "0" "0" "0" "0" "0"
"GH010424" "2291" "  16" "0" "0" "  23" "   7" "  70" "0" "0" "   8" "0" "0" "   2" "0" "0" "   1" "0" "0" "0" "0"
"GH010400" "383" "  5" "0" "0" "0" "  4" "  2" "0" "0" "0" "0" "0" "0" "  2" "0" "0" "  1" "0" "0" "0"
"GX010788" "164" "0" "  7" "0" "0" "  1" " 25" "0" "0" "  8" "0" "  1" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010783" "3408" "0" "   2" "   2" "   5" "0" "   2" "   4" "0" "  41" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010739" "1893" "   1" "   8" "   1" "   4" "  13" "  72" "0" "0" "   4" "0" "0" "   4" "0" "0" "0" "0" "0" "0" "0"
"GH010397" "8115" " 138" "0" "   3" "   1" "6273" " 144" "   3" "0" "1607" "0" "0" "   2" "   1" "0" "0" "0" "   1" "0" "0"
"GX010753" "  14" "1242" "0" "  40" "  41" "  14" " 218" "0" "   2" "   9" "   3" "  15" "  82" "   4" "   1" "0" "0" "0" "0" "0"
"GX010752" "2435" " 330" "0" " 176" "  51" "  78" " 326" "   9" "   2" "   8" "  25" "   7" "  31" " 220" "   7" "   1" "   2" "0" "   1" "0"
"GH011373" "17" " 5" "0" "0" "0" "57" "64" "0" "0" " 2" "0" "0" "0" "0" "0" "0" " 1" "0" "0" "0"
"GH011371" "1648" "  15" "0" "   5" "   1" "  87" "  24" "  55" "0" " 112" "0" "0" "   9" "   3" "   1" "0" "0" "0" "0" "0"
"GH011368" " 687" "0" "   4" "   3" "   1" "2583" "   1" "0" "0" " 559" "0" "0" "  44" "0" "   2" "0" "0" "0" "0" "0"
"GH010758" "579" "0" "0" "0" "0" "0" "0" "0" "0" " 17" "0" "0" "0" "0" "  1" "0" "0" "0" "0" "  2"
"GH010743" "1171" " 105" " 144" " 107" " 147" "  76" " 454" "  12" "0" "   1" "0" "0" "   2" "  68" "  23" "  26" "0" "   3" "   1" "0"
"GH010742" "1508" "  21" "   5" "0" "  32" " 151" " 270" "   8" "0" "  27" "0" "0" "   4" "   2" "0" "0" "0" "   3" "0" "0"
"GH010740" "652" "  3" "  5" " 22" " 59" " 10" "527" "0" "  3" "0" "0" "  2" "0" "  1" " 13" "0" "0" "0" " 31" "0"
"GH010737" "5601" "   4" "0" "   6" "0" "  18" "  43" "   6" "0" " 152" "   1" "0" "   9" "   9" "0" "0" "0" "0" "0" "0"
"GH010404" "3831" "0" "0" "0" "   1" "0" "   2" "0" "0" "   4" "0" "0" "  12" "0" "0" "0" "0" "0" "0" "0"
"GH010736" "3229" "   2" "0" "0" "0" "  12" "  18" "   1" "0" "  79" "   1" "0" "   1" "   2" "   1" "0" "0" "0" "0" "0"
"GH010453" "16" " 8" " 2" "23" "20" "58" "86" " 1" "0" "12" "0" "0" "0" " 4" "0" "0" " 1" "0" "0" "0"
"GH010452" "166" "0" "0" "  9" "  1" " 80" "  7" "  6" "0" " 13" "0" "  1" "  1" "  9" "0" "0" "0" "0" "0" "0"
"GH010451" "2862" "  16" "0" "0" "   3" " 453" "   8" "   2" "0" " 176" "0" "0" "   3" "  28" "0" "0" "0" "0" "0" "0"
"GH010449" "  20" " 225" "0" " 200" "   6" "3853" " 164" "   5" "  10" "7566" "  77" "0" "  31" "   1" " 285" "  35" "0" "   9" "0" "   7"
"GH010448" " 215" " 287" "0" "  24" "  16" " 707" " 633" "0" "   3" "2108" "  26" "0" "  13" " 348" " 155" "0" "0" "0" "   3" "0"
"GH010446" " 131" " 340" "0" "   7" "   6" "1239" " 607" "0" "  19" "1050" " 167" "   1" "   4" "  10" "   6" "   5" "   2" "0" "   7" "0"
"GH010419" "1184" "  20" "   2" "   6" "   2" " 513" " 237" "  17" "0" " 135" "0" "0" "  24" "  82" "0" "   4" "0" "   9" "0" "0"
"GH010418" "2060" "  18" "  15" "  10" "0" "  46" " 133" "0" "0" "  71" "0" "0" "  11" "   7" "0" "0" "0" "0" "0" "0"
"GH010417" "1414" "   8" "0" "   4" "0" "  23" "  16" "0" "0" "  68" "0" "0" "   4" "   8" "   2" "0" "0" "0" "0" "   1"
"GH010405" "8944" "0" "0" "   8" "0" "   2" "0" "0" "0" "   4" "0" "0" "   5" "0" "0" "0" "0" "0" "0" "0"
"GH010403" "7267" "0" "0" "0" "0" " 323" "0" "0" "0" " 134" "0" "0" "0" "0" "0" "0" "   1" "0" "0" "0"
"GH010398" "5721" "   6" "0" "0" "0" "1339" "  15" "0" "0" "1989" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
