"file" "Chromis_chromis" "Serranus_scriba" "Other" "Symphodus_tinca" "Boops_boops" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Thalassoma_pavo" "Anthias_anthias" "Diplodus_sargus" "Oblada_melanura" "Sarpa_salpa" "Epinephelus_marginatus" "Sciaena_umbra" "Diplodus_vulgaris" "Apogon_imberbis" "Mullus_surmuletus" "Sparus_aurata"
"GH011370" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" "2" "1" "5" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "  2" "0" "0" "0" "312" "  3" " 11" "  1" "172" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011369" "538" "  4" "  5" "0" "0" "  1" "0" "0" " 25" "  1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010785" "1449" "   1" "   1" "0" "  49" "  18" "0" "0" "  73" "0" "   1" "   1" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010399" "297" "0" "  3" "  1" " 89" "  3" "136" "0" " 78" "0" "0" " 27" "  3" " 10" "0" "0" "0" "0" "0" "0"
"GH011372" "1299" "  15" "  18" "0" "  81" "  25" "   2" "0" "  29" "0" "0" "0" "0" "   2" "0" "0" "0" "0" "0" "0"
"GH010424" "2078" "0" "  13" "  23" "   4" "  65" "0" "0" "   4" "0" "0" "0" "   1" "0" "   1" "0" "0" "0" "0" "0"
"GH010400" "348" "0" "  5" "0" "  4" "  1" "0" "0" "0" "0" "0" "0" "0" "  1" "0" "0" "0" "0" "0" "0"
"GX010788" "158" "  7" "0" "0" "  1" " 21" "0" "0" "  5" "  1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010783" "3157" "   2" "0" "   4" "0" "   2" "   4" "0" "  33" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010739" "1820" "   8" "0" "   4" "  10" "  68" "0" "0" "   1" "0" "0" "   1" "   4" "0" "0" "0" "0" "0" "0" "0"
"GH010397" "7788" "0" " 101" "   1" "5588" " 138" "   1" "0" "1384" "0" "0" "   2" "   2" "   1" "0" "   1" "0" "0" "0" "0"
"GX010753" "   8" "0" "1177" "  37" "  12" " 195" "0" "   2" "   8" "  14" "   1" "  33" "  76" "   2" "0" "0" "   1" "0" "0" "0"
"GX010752" "2363" "0" " 297" "  49" "  67" " 289" "   8" "   2" "   7" "   7" "  22" " 165" "  27" " 193" "0" "0" "   5" "   1" "   2" "0"
"GH011373" "12" "0" " 4" "0" "47" "58" "0" "0" " 1" "0" "0" "0" "0" "0" "0" "0" "0" "0" " 1" "0"
