"file" "Chromis_chromis" "Other" "Boops_boops" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Serranus_scriba" "Anthias_anthias" "Diplodus_sargus" "Oblada_melanura" "Sarpa_salpa" "Symphodus_tinca" "Epinephelus_marginatus" "Sciaena_umbra" "Thalassoma_pavo" "Diplodus_vulgaris" "Mullus_surmuletus" "Apogon_imberbis" "Sparus_aurata"
"GH010401" "1" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "  1" "0" "276" "  1" "  7" "  1" "150" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011369" "514" "  3" "0" "0" "0" "0" " 20" "  4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010785" "1369" "   1" "  32" "  13" "0" "0" "  50" "   1" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010399" "267" "  2" " 58" "  2" "124" "0" " 59" "0" "0" " 17" "  3" "  6" "  1" "0" "0" "0" "0" "0" "0" "0"
"GH011372" "1239" "  11" "  73" "  22" "0" "0" "  24" "  15" "0" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010424" "1840" "  11" "   4" "  58" "0" "0" "   2" "0" "0" "0" "   1" "0" "  20" "   1" "0" "0" "0" "0" "0" "0"
"GH010400" "307" "  3" "  2" "0" "0" "0" "0" "0" "0" "0" "0" "  1" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010788" "149" "0" "  1" " 16" "0" "0" "  4" "  6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010783" "2858" "0" "0" "   2" "   1" "0" "  19" "   1" "0" "0" "0" "0" "   3" "0" "0" "0" "0" "0" "0" "0"
"GH010739" "1734" "0" "  10" "  60" "0" "0" "   1" "   8" "0" "0" "   4" "0" "   3" "0" "0" "0" "0" "0" "0" "0"
"GH010397" "7415" "  68" "4815" " 135" "   1" "0" "1139" "0" "0" "   1" "   1" "   1" "   1" "0" "   1" "0" "0" "0" "0" "0"
"GX010784" "2798" "   3" "  37" "0" "   1" "0" " 613" "0" "   9" "0" "0" "0" "0" "0" "0" "   1" "0" "0" "0" "0"
"GX010753" "   5" "1078" "   7" " 172" "0" "   2" "   7" "0" "0" "  23" "  58" "   1" "  31" "0" "0" "  14" "   1" "0" "0" "0"
"GX010752" "2266" " 263" "  51" " 250" "   8" "   1" "   4" "0" "  15" " 157" "  23" " 161" "  38" "0" "0" "   6" "   3" "   2" "0" "0"
"GH011373" " 9" " 1" "38" "50" "0" "0" " 1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011371" "1547" "   7" "  65" "  18" "  41" "0" "  83" "0" "0" "   3" "   5" "   2" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011368" " 601" "0" "2176" "   1" "0" "0" " 411" "   3" "0" "   1" "  31" "0" "   1" "0" "0" "0" "0" "0" "0" "0"
"GH010758" "459" "0" "0" "0" "0" "0" "  9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010743" "897" " 93" " 54" "419" "  5" "0" "0" "132" "0" " 82" "0" " 43" " 83" " 17" "  2" "0" "  9" "0" "0" "0"
"GH010742" "1286" "  13" "  89" " 237" "   4" "0" "  14" "   3" "0" "0" "   3" "   1" "  26" "0" "   2" "0" "0" "0" "0" "0"
"GH010740" "549" "  2" "  5" "463" "0" "  1" "0" "  5" "0" " 22" "0" "0" " 47" "0" "0" "  1" "  5" "0" " 26" "0"
"GH010737" "5001" "   2" "  12" "  39" "   2" "0" " 122" "0" "   1" "   4" "   8" "   6" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010404" "3376" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "   8" "0" "   1" "0" "0" "0" "0" "0" "0" "0"
