"file" "Chromis_chromis" "Other" "Boops_boops" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Serranus_scriba" "Anthias_anthias" "Coris_julis" "Diplodus_sargus" "Oblada_melanura" "Sarpa_salpa" "Epinephelus_marginatus" "Symphodus_tinca" "Sciaena_umbra" "Thalassoma_pavo" "Diplodus_vulgaris" "Mullus_surmuletus" "Apogon_imberbis" "Sparus_aurata"
"GH010401" "1" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "0" "0" "236" "  5" "  1" "123" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011369" "463" "  3" "0" "0" "0" " 15" "  3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010785" "1260" "0" "  20" "0" "0" "  23" "0" "   1" "   8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010399" "230" "  1" " 34" "110" "0" " 36" "0" "0" "  2" " 10" "  2" "  4" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011372" "1159" "   8" "  64" "0" "0" "  17" "  12" "0" "  20" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010424" "1567" "   9" "   4" "0" "0" "   1" "0" "0" "  49" "0" "   1" "0" "   1" "  16" "0" "0" "0" "0" "0" "0"
"GH010400" "269" "  2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010788" "139" "0" "  1" "0" "0" "  3" "  6" "0" " 11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010783" "2487" "0" "0" "0" "0" "  12" "0" "0" "0" "0" "0" "0" "0" "   3" "0" "0" "0" "0" "0" "0"
"GH010739" "1631" "0" "   7" "0" "0" "   1" "   7" "0" "  54" "0" "   2" "0" "0" "   1" "0" "0" "0" "0" "0" "0"
"GH010397" "6923" "  38" "3814" "0" "0" " 889" "0" "0" " 120" "0" "   1" "   1" "0" "0" "   1" "0" "0" "0" "0" "0"
