"file" "transNameCounts" "Boops_boops" "Seriola" "Spicara_smaris" "Chromis_chromis" "Other" "Serranus_scriba" "Coris_julis" "Diplodus_sargus" "Oblada_melanura" "Sarpa_salpa" "Epinephelus_marginatus" "Symphodus_tinca" "Diplodus_vulgaris" "Sciaena_umbra" "Anthias_anthias" "Serranus_cabrilla" "Thalassoma_pavo" "Mullus_surmuletus" "Apogon_imberbis" "Sparus_aurata"
"GH010401" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "0" "172" "  2" " 99" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011369" "0" "0" "0" " 14" "414" "  2" "  2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010785" "0" "  11" "0" "   9" "1144" "0" "0" "   5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010399" "0" " 20" " 91" " 25" "172" "0" "0" "0" "  2" "  1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011372" "0" "  46" "0" "  12" "1054" "   7" "  11" "  16" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010424" "0" "   1" "0" "0" "1284" "   5" "0" "  43" "0" "   1" "0" "   1" "  10" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010417" "0" "  8" "0" " 28" "735" "  4" "0" "  3" "0" "0" "0" "0" "0" "  1" "0" "0" "0" "0" "0" "0" "0"
"GH010400" "0" "0" "0" "0" "196" "  1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010788" "0" "0" "0" "  1" "125" "0" "  2" "  8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010783" "0" "0" "0" "   4" "2039" "0" "0" "0" "0" "0" "0" "0" "   3" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010739" "0" "   6" "0" "0" "1480" "0" "   7" "  49" "0" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010453" "0" "21" "0" " 4" " 7" " 2" "0" "40" "0" "0" "0" "0" " 4" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010397" "0" "2612" "0" " 605" "6319" "  21" "0" " 108" "0" "0" "   1" "0" "0" "0" "   1" "0" "0" "0" "0" "0" "0"
"GX010784" "0" "   7" "0" " 249" "2294" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "   4" "0" "0" "0" "0" "0"
"GX010753" "0" "  2" "0" "  2" "0" "821" "0" "116" " 14" " 28" "0" "0" " 16" "0" "0" "0" "  2" "  7" "0" "0" "0"
"GX010752" "0" "  26" "   4" "   1" "1989" " 182" "0" " 169" " 116" "  12" "  96" "0" "  21" "   1" "0" "   7" "0" "   4" "   1" "0" "0"
"GH011373" "0" "19" "0" " 1" " 4" " 1" "0" "34" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011371" "0" "  29" "  18" "  50" "1384" "   1" "0" "  13" "   1" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011368" "0" "1592" "0" " 229" " 502" "0" "   1" "   1" "0" "  13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010758" "0" "0" "0" "  3" "304" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010743" "0" " 25" "0" "0" "609" " 72" "117" "366" " 50" "0" " 16" "  5" " 36" "0" "  2" "0" "0" "0" "0" "0" "0"
"GH010742" "0" "  37" "   2" "   4" "1004" "   8" "0" " 199" "0" "0" "0" "0" "  17" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010740" "0" "  2" "0" "0" "425" "  1" "  4" "363" " 20" "0" "0" "0" " 38" "  1" "0" "0" "0" "0" "0" "  7" "0"
"GH010737" "0" "   4" "0" "  62" "4134" "   1" "0" "  35" "   2" "   2" "   4" "0" "0" "0" "0" "   1" "0" "0" "0" "0" "0"
"GH010404" "0" "0" "0" "0" "2683" "0" "0" "0" "0" "   3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010736" "0" "   5" "0" "  24" "2459" "0" "0" "  12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010452" "0" " 28" "  2" "  5" "132" "0" "0" "  3" "  2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010451" "0" " 248" "   1" "  68" "2053" "   2" "0" "0" "0" "0" "   2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010449" "0" "1948" "   1" "2647" "   5" "  31" "0" "  65" "  73" "   4" "   1" "  20" "0" "  95" "   4" "  28" "   1" "0" "0" "0" "0"
"GH010448" "0" "190" "0" "654" " 90" " 56" "0" "317" "  7" "  1" "185" "0" "  3" " 73" "0" "  5" "0" "0" "0" "0" "0"
"GH010446" "0" "480" "0" "334" " 25" "120" "0" "258" "  2" "0" "  1" "  5" "  2" "0" "0" " 69" "  3" "0" "  1" "  2" "0"
"GH010419" "0" "165" "  4" " 25" "704" "  6" "0" "159" "  1" "  7" " 28" "  2" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010418" "0" "  12" "0" "  34" "1403" "   5" "   7" " 104" "   2" "   3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010405" "0" "0" "0" "0" "6523" "0" "0" "0" "   1" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010403" "0" " 146" "0" "  33" "5304" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010398" "0" " 341" "0" " 710" "4116" "   3" "0" "   9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010396" "0" "  71" "0" "0" "6929" "0" "0" "  28" "0" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010032" "0" "   8" "0" "   2" "5702" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010031" "0" " 268" "0" "  15" "3553" "   2" "0" "  22" "0" "0" "   1" "0" "   1" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010030" "0" "1908" "0" "  22" "7356" "   4" "0" "  14" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010029" "0" "0" "0" "0" " 32" "  2" "0" "212" "161" " 34" "  1" "0" " 64" " 92" "0" "0" "0" "0" "0" "0" "0"
"GH010028" "0" "  1" "0" "0" "155" " 34" "  6" "328" " 64" " 24" "  6" "0" "505" " 21" "0" "0" "0" " 33" "  2" "  2" "0"
"GH010027" "0" "0" "0" "0" " 10" "  5" "0" "435" "241" " 39" "236" "0" "248" "  5" "0" "  1" "0" " 12" "0" "0" "0"
"GH010026" "0" "   6" "0" "0" "1206" "   6" "   1" " 335" "  12" " 213" "  16" "0" " 282" " 166" "0" "0" "0" "  17" "   2" "0" "0"
"GH010025" "0" "0" "0" "0" "3639" "  12" "0" "  67" "  34" "  68" "  65" "0" "  35" " 331" "0" "0" "0" "  11" "0" "0" "0"
"GH010024" "0" "0" "0" "0" "  1" "  3" "0" "593" "102" " 14" "  7" "0" " 40" "227" "0" "0" "0" " 62" "  2" "0" "0"
"GH010023" "0" "157" "0" "  2" "518" "  4" "0" "398" "127" "398" "174" "  1" " 99" "175" "  1" "  8" "  1" "  4" "  7" "0" "0"
"GX012714" "0" "   1" "0" "0" "3680" "  11" "  85" " 488" " 413" "  26" " 516" "0" " 383" " 273" "0" "   1" "   1" "  94" "0" "0" "0"
"GX012712" "0" "0" "   9" "0" " 484" " 117" "  26" " 700" "2874" "  56" "1266" "   2" " 196" "1516" "0" "   2" "   4" "  63" "0" "   4" "   1"
"GX012710" "0" "0" "0" "0" " 38" "  3" " 14" "452" "311" " 10" "316" "0" " 82" "206" "0" "0" "0" " 11" "  1" "  1" "0"
"GX012709" "0" "0" "0" "  1" "545" "120" " 12" "462" "502" "  1" " 13" "0" "390" "257" "0" "  2" "0" " 23" "  5" " 87" "0"
"GX012707" "0" "0" "0" "0" "718" "  7" "120" "324" "394" " 12" "  8" "0" "243" "148" "0" "0" "0" "  1" "  4" "  1" "0"
"GX012705" "0" "0" "0" "0" " 38" " 12" " 10" " 91" "531" "  9" "  2" "0" "186" " 47" "0" "0" "  1" " 34" "0" "0" "0"
