"file" "Chromis_chromis" "Coris_julis" "Serranus_scriba" "Spicara_smaris" "transNameCounts" "Boops_boops" "Seriola" "Anthias_anthias" "Diplodus_sargus" "Diplodus_vulgaris" "Epinephelus_marginatus" "Oblada_melanura" "Other" "Sarpa_salpa" "Sciaena_umbra" "Serranus_cabrilla" "Symphodus_tinca" "Thalassoma_pavo" "Apogon_imberbis" "Mullus_surmuletus" "Sparus_aurata"
"GX010788" "104" "  5" "  1" "  1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "0" "0" "0" "59" "0" "79" " 2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011369" "342" "0" "0" "  8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010399" "105" "0" "0" "  6" "0" "  4" " 61" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011373" " 2" "17" "0" "0" "0" " 6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010785" "922" "0" "0" "0" "0" "  2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010449" "   4" "  37" "0" "1172" "0" "1324" "   1" "  19" "  26" "  32" "  12" "   1" "   5" "   1" "   2" "   1" "0" "0" "0" "0" "0"
"GH011372" "880" " 11" " 10" "  6" "0" " 26" "0" "0" "0" "0" "0" "0" "  4" "  1" "0" "0" "0" "0" "0" "0" "0"
"GH010424" "894" " 32" "0" "0" "0" "0" "0" "0" "0" "0" "0" "  1" "0" "0" "0" "0" "  5" "0" "0" "0" "0"
"GH010417" "500" "  1" "0" "  7" "0" "  2" "0" "0" "0" "  1" "0" "0" "  2" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010400" "0" "0" "0" "0" "105" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010783" "0" "0" "0" "0" "1454" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010743" "433" "320" "105" "0" "0" " 10" "0" "0" " 23" "0" "  3" "0" " 63" "  5" "  1" "0" " 13" "0" "0" "0" "0"
"GH010739" "1229" "  38" "   4" "0" "0" "   2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010453" " 6" "23" "0" " 3" "0" "12" "0" "0" "0" "0" "0" "0" " 1" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010397" "5363" "  86" "0" " 299" "0" "1277" "0" "0" "0" "0" "0" "0" "   4" "0" "   1" "0" "0" "0" "0" "0" "0"
"GX010784" "1923" "0" "0" "  95" "0" "   1" "0" "   4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010753" "0" " 77" "0" "0" "0" "0" "0" "0" " 10" "0" "0" " 13" "619" "0" "0" "0" "  8" "  6" "0" "0" "0"
"GX010752" "1738" " 111" "0" "0" "0" "   9" "   4" "   1" "  93" "0" "0" "   4" " 125" "  59" "0" "0" "  15" "   1" "0" "0" "0"
"GH011371" "1228" "   7" "0" "  34" "0" "  10" "  12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011368" " 418" "   1" "0" " 109" "0" "1151" "0" "0" "0" "0" "0" "   3" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010758" "222" "0" "0" "  1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010742" "787" "153" "0" "  1" "0" " 12" "0" "0" "0" "0" "0" "0" "  4" "0" "0" "0" " 11" "0" "0" "0" "0"
"GH010740" "338" "301" "  4" "0" "0" "0" "0" "0" " 18" "0" "0" "0" "0" "0" "0" "0" " 32" "0" "  2" "0" "0"
"GH010737" "3502" "  27" "0" "  38" "0" "   2" "0" "0" "0" "0" "0" "   1" "0" "   3" "0" "0" "0" "0" "0" "0" "0"
