"file" "transNameCounts" "Chromis_chromis" "Coris_julis" "Spicara_smaris" "Boops_boops" "Seriola" "Diplodus_sargus" "Sarpa_salpa" "Anthias_anthias" "Diplodus_vulgaris" "Epinephelus_marginatus" "Other" "Oblada_melanura" "Symphodus_tinca" "Serranus_scriba" "Serranus_cabrilla" "Thalassoma_pavo" "Sciaena_umbra" "Mullus_surmuletus" "Apogon_imberbis" "Sparus_aurata"
"GH011373" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GX010788" "0" "69" " 1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010453" "0" "3" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GX010784" "0" "1266" "0" "  19" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010401" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GX010779" "0" "0" "0" " 8" "10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH011369" "0" "209" "0" "  2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010399" "0" "43" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010400" "35" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GX010785" "590" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GX010756" "0" "0" "16" "0" "0" "0" " 4" " 3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010449" "0" "0" " 14" "116" "524" "0" "  1" "0" "  2" "  1" "  2" "  2" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010029" "0" " 5" "33" "0" "0" "0" "23" "0" "0" " 1" "0" "0" " 5" " 5" "0" "0" "0" "0" "0" "0" 0
"GH011372" "0" "559" "  5" "  3" "  8" "0" "0" "0" "0" "0" "0" "  2" "0" "0" "  8" "0" "0" "0" "0" "0" 0
"GH011368" "0" "292" "0" " 27" "573" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010446" "0" "0" "38" "21" "86" "0" "0" "0" "14" "0" " 4" "25" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010424" "0" "416" " 16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010417" "0" "245" "0" "0" "0" "0" "0" "0" "0" "0" "0" "  1" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GX010783" "636" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GX010754" "0" "96" "56" "0" "0" "0" "15" "0" " 5" "0" "0" "0" " 3" " 1" "0" " 1" " 2" "0" "0" "0" 0
