"file" "transNameCounts" "Chromis_chromis" "Coris_julis" "Serranus_scriba" "Symphodus_tinca" "Other" "Thalassoma_pavo" "Boops_boops" "Diplodus_sargus" "Diplodus_vulgaris" "Anthias_anthias" "Seriola" "Sarpa_salpa" "Spicara_smaris" "Oblada_melanura" "Mullus_surmuletus" "Apogon_imberbis" "Epinephelus_marginatus" "Serranus_cabrilla" "Sciaena_umbra" "Sparus_aurata"
"GH010399" "6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GX010783" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010028" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GX010756" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010022" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010448" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010758" "6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GX010753" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH011369" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010449" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GX012707" "0" "1" "2" "8" "1" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GX012705" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GX010788" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH011368" "21" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010024" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010452" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GX012710" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GX010784" "100" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010740" "0" "6" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010025" "0" "16" " 2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GX010754" "0" "7" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010404" "69" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010397" "363" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH011372" "0" "38" "0" " 3" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010424" "0" "4" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GX010785" "72" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
"GH010743" "0" "0" "12" "22" "0" " 1" "0" "0" "0" "0" "0" "0" "0" 0 0 0 0 0 0 0 0
