project,diver,location,date,zone,substrate,depth,site,transect,gopro,file,Other,Anthias_anthias,Apogon_imberbis,Boops_boops,Chromis_chromis,Coris_julis,Diplodus_sargus,Diplodus_vulgaris,Epinephelus_marginatus,Mullus_surmuletus,Oblada_melanura,Sarpa_salpa,Seriola,Sciaena_umbra,Serranus_cabrilla,Serranus_scriba,Sparus_aurata,Spicara_smaris,Symphodus_tinca,Thalassoma_pavo
OFB,SR,Cap Roux ,02/10/2023,O,rocky,shallow,6,5,,-,4,0,0,0,0,23,3,5,0,0,2,0,0,0,0,1,1,0,18,1
OFB,SR,Cap Roux ,02/10/2023,O,rocky,shallow,6,6,,-,8,0,0,0,0,5,4,1,0,1,1,0,0,0,1,2,0,0,16,1
FEAMPA,SR,Corniche varoise,10/10/2023,I,posidonia,none,2,6,,-,52,0,0,1,130,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OFB,SR,Cap Roux ,02/10/2023,O,rocky,shallow,4,1,5,GH010022,3,0,0,0,1,6,2,2,0,0,2,0,0,0,0,1,0,0,7,2
OFB,SR,Cap Roux ,02/10/2023,O,rocky,shallow,4,2,5,GH010023,1,0,0,0,0,18,0,7,0,1,70,3,0,0,0,0,0,0,7,6
OFB,SR,Cap Roux ,02/10/2023,O,rocky,shallow,4,3,5,GH010024,2,0,0,0,0,17,5,5,0,0,3,3,0,0,0,0,0,0,1,2
OFB,SR,Cap Roux ,02/10/2023,O,rocky,shallow,4,4,5,GH010025,2,0,0,0,60,12,1,4,0,0,8,0,0,0,0,2,0,0,2,6
OFB,SR,Cap Roux ,02/10/2023,O,rocky,shallow,6,1,5,GH010026,2,0,0,0,90,9,2,2,0,1,0,0,0,0,0,3,0,0,8,0
OFB,SR,Cap Roux ,02/10/2023,O,rocky,shallow,6,2,5,GH010027,5,0,0,0,22,10,8,1,0,0,0,13,0,0,0,1,0,0,11,2
OFB,SR,Cap Roux ,02/10/2023,O,rocky,shallow,6,3,5,GH010028,10,0,9,0,12,11,4,4,0,0,0,10,0,0,0,3,0,0,11,5
